Type,Features Type,ID-number,Province_code,Province_name,Confirmed_cases,Recovered_cases,Death_cases,Features Geometry Type,Features Geometry Coordinates
FeatureCollection,Feature,1,11,Aceh,9,4,1,Point,"96.90952274776174,4.225081892093782"
FeatureCollection,Feature,2,12,Sumatera Utara,111,21,12,Point,"99.05788784892918,2.1847792149105123"
FeatureCollection,Feature,3,13,Sumatera Barat,121,23,14,Point,"100.46680503029916,-0.8519143477257053"
FeatureCollection,Feature,4,14,Riau,39,14,4,Point,"101.81289195391142,0.5105258491811052"
FeatureCollection,Feature,5,15,Jambi,32,1,4,Point,"103.59931999973588,-1.6177499996423312"
FeatureCollection,Feature,6,16,Sumatera Selatan,129,18,3,Point,"104.17041944464856,-3.213346821849744"
FeatureCollection,Feature,7,17,Bengkulu,8,1,1,Point,"102.26311999971767,-3.7911599999922694"
FeatureCollection,Feature,8,19,Kepulauan Bangka Belitung,10,2,1,Point,"105.98694808180812,-2.2529564111524327"
FeatureCollection,Feature,9,18,Lampung,42,10,5,Point,"105.01831305094686,-4.918073087438925"
FeatureCollection,Feature,10,21,Kepulauan Riau,86,9,8,Point,"108.20222888881388,3.9159472411462137"
FeatureCollection,Feature,11,31,DKI Jakarta,3869,337,367,Point,"106.82648999970596,-6.171480000380943"
FeatureCollection,Feature,12,32,Jawa Barat,951,96,78,Point,"107.60280789771438,-6.919980215676874"
FeatureCollection,Feature,13,33,Jawa Tengah,666,88,58,Point,"110.201112529175,-7.258970382933987"
FeatureCollection,Feature,14,34,Daerah Istimewa Yogyakarta,83,37,7,Point,"110.4453669711082,-7.895013815160975"
FeatureCollection,Feature,15,35,Jawa Timur,796,140,88,Point,"112.73367880118164,-7.720113018739567"
FeatureCollection,Feature,16,36,Banten,382,33,40,Point,"106.10919706896232,-6.456181598923129"
FeatureCollection,Feature,17,51,Bali,194,81,4,Point,"115.1316509954286,-8.369743261086477"
FeatureCollection,Feature,18,52,Nusa Tenggara Barat,206,22,4,Point,"117.50686245225263,-8.606652084111358"
FeatureCollection,Feature,19,53,Nusa Tenggara Timur,1,1,4,Point,"121.14182917026828,-8.604843331946174"
FeatureCollection,Feature,20,61,Kalimantan Barat,51,7,3,Point,"111.12076240064371,-0.0859012339120799"
FeatureCollection,Feature,21,62,Kalimantan Tengah,112,10,5,Point,"113.18104785169665,-1.6343400452136536"
FeatureCollection,Feature,22,63,Kalimantan Selatan,150,10,6,Point,"115.3113078341141,-2.4497791372641027"
FeatureCollection,Feature,23,64,Kalimantan Timur,107,12,1,Point,"116.47085839332128,0.46104622699002373"
FeatureCollection,Feature,24,65,Kalimantan Utara,90,2,1,Point,"116.21671830879166,2.888820960580607"
FeatureCollection,Feature,25,71,Sulawesi Utara,40,11,3,Point,"124.53537884973578,1.2860976870791652"
FeatureCollection,Feature,26,72,Sulawesi Tengah,36,3,3,Point,"120.44959250038356,-1.4592149539219137"
FeatureCollection,Feature,27,73,Sulawesi Selatan,440,106,37,Point,"120.16115770364496,-3.7471157118016927"
FeatureCollection,Feature,28,74,Sulawesi Tenggara,45,6,2,Point,"122.0786780559111,-4.1328039709672435"
FeatureCollection,Feature,29,75,Gorontalo,14,6,1,Point,"123.06184000014996,0.5370700003394442"
FeatureCollection,Feature,30,76,Sulawesi Barat,35,1,1,Point,"119.34347138338468,-2.461902015116017"
FeatureCollection,Feature,31,81,Maluku,22,11,1,Point,"129.3604249999869,-3.1261193431769434"
FeatureCollection,Feature,32,82,Maluku Utara,26,2,1,Point,"128.0159294419005,0.8693370008694276"
FeatureCollection,Feature,33,94,Papua,151,32,6,Point,"140.0000000003746,-5.000000000227514"
FeatureCollection,Feature,34,91,Papua Barat,16,32,1,Point,"132.96834171194757,-2.0417232818795226"
FeatureCollection,Feature,35,91,Indonesia,26,32,1,Point,"113.91586500022191,-0.9898181822734585"
