"ID","Incident Date","City","State","School name","Latitude","Longitude","School Type","Intent","Outcome","Number Killed","Number Wounded","Narrative","Source 1","URL 1","Source 2","URL 2","Source 3","URL 3","Created","Last Modified"
"1","2013-01-07","Fort Myers","FL","Apostolic Revival Center Christian School","26.64019","-81.834511","","Attack on others","Death","1","0","An unidentified person fatally shot another man, 27, in the school parking lot. Police did not immediately identify the person and did not make any arrests.","NBC-2","http://bit.ly/1k3p1sx","","","","","2024-02-05T18:55:21.000Z","2024-03-20T18:47:13.000Z"
"2","2013-01-10","Taft","CA","Taft Union High School","35.1463","-119.4604","","Attack on others","Injury","0","2","A sixteen-year-old opened fire on his classmates, hitting and injuring another 16-year-old student. A teacher in the classroom persuaded the shooter to put down the firearm and surrender to police. Police believe the gun belonged to his brother.","Huffington Post","https://bit.ly/2uMkAMU","","","","","2024-02-05T18:55:21.000Z","2024-02-05T19:12:37.000Z"
"3","2013-01-15","Hazard","KY","Hazard Community and Technical College","37.234897","-83.175644","","Attack on others","Death","3","0","A 21 year-old used a semi-automatic pistol he had purchased earlier in the day to shoot and kill his former girlfriend, 20, her uncle, 53, and her 12-year-old cousin in the school parking lot. The man turned himself in to police later that afternoon.","WKYT","https://bit.ly/1tSr4Nc","","","","","2024-02-05T18:55:21.000Z","2024-03-20T18:49:52.000Z"
"4","2013-01-15","St. Louis","MO","Stevens-The Institute of Business & Arts","38.632917","-90.201157","","Attack on others","Injury","0","1","A 34-year-old shot and injured a man, 45, in his office with a 9mm handgun. The shooter then shot himself in the stomach when fleeing the scene, which was believed to have been unintentional. The shooting followed an argument that had occurred between the two the day before. According to police, the handgun used in the shooting had been stolen during a burglary.","St. Louis Post-Dispatch","http://bit.ly/1cuVS2u","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"5","2013-01-16","Chicago","IL","Chicago State University","41.718446","-87.609384","","Attack on others","Death","1","0","A twenty-nine-year-old and a 32-year-old shot and killed a 17-year-old student outside of the basketball gym. It started with a brawl inside of the gym after the basketball game between players of both teams. Law enforcement apprehended one of the shooters near the school and charged him with first-degree murder.","Chicago Tribune","http://trib.in/1JocZmf","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"6","2013-01-22","Houston","TX","Lone Star College - North Harris","30.0048729043","-95.3805347133","","Attack on others","Injury","0","3","A twenty-two-year-old shot and injured three people. The shooter had had an argument with two of the victims prior to the shooting. Law enforcement arrested the shooter and charged him with aggravated assault with a deadly weapon.","Houston Chronicle","https://bit.ly/2uOCw9N","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"7","2013-01-24","Arlington","TX","Tarrant County College - Southeast Campus","32.6391595964","-97.0709542397","","Legal Intervention","Death","1","0","A felony theft suspect, 22, was pursued by police into the parking lot of a community college. After fighting with an officer and grabbing the officer’s stun gun, the suspect was shot multiple times. He died at the scene.  ","NBC DFW","https://bit.ly/2Mq4Xja","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"8","2013-01-31","Atlanta","GA","Price Middle School","33.7089","-84.3874","","Attack on others","Injury","0","1","An unidentified 15-year-old shot and wounded an eighth grade student in the school courtyard. A school safety officer then disarmed the 15-year-old. Atlanta Police said that the shooting was not random and that there had had been an argument prior to the shooting.","CBS","https://cbsn.ws/2BRsjwPht","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"9","2013-02-01","Atlanta","GA","Morehouse College","33.745982","-84.414917","","Attack on others","Injury","0","1","A man shot and injured another man in the arm; according to the shooter, the victim had taken aggressive steps toward him. On February 24, 2014, the shooter was convicted of aggravated assault with a deadly weapon and possession of a weapon on school property among other charges.","CBS","http://bit.ly/1NFBBLe","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"10","2013-02-01","Detroit","MI","Martin Luther King Jr Senior High School","42.342604","-83.016604","","Other","Death","1","1","An assistant girls basketball coach at Martin Luther King Jr. High School, 70. was walking two female students to their vehicles in the school paring lot when two armed teens ambushed them. The coach opened fire and fatally wounded a teen, 16, and shot and injured the other teen. Police took the coach into custody. ","M Live","https://bit.ly/2FKlaiY","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"11","2013-02-07","Fort Pierce","FL","Indian River State College","27.42416","-80.358682","","Other","Injury","0","1","Police were pursuing an armed person into a parking lot on the campus of Indian River State College. A bystander in the parking lot was injured when shots were fired. It is unclear who fired the shot that injured her.","TCPalm","http://archive.tcpalm.com/news/eight-months-later-still-no-way-of-knowing-who-shot-irsc-student--photo-gallery-ep-306483666-342334511.html/","WPBF","https://www.wpbf.com/article/shooting-victim-files-lawsuit-against-indian-river-state-college/1322956","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"12","2013-02-13","San Leandro","CA","Hillside Elementary School","37.7018","-122.1164","","Attack on others","Death","1","0","A twenty-year-old fatally shot an 18-year-old on the school's basketball court. This occurred after the victim did not pay the shooter $5 he had lost on a bet.","Patch","http://bit.ly/11uUGcQ","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"13","2013-02-27","Atlanta","GA","Henry W. Grady High School","33.7806","-84.3714","","Unintentional Discharge","Injury","0","1","A seventeen-year-old unintentionally shot herself in the thigh with a handgun in the courtyard of the high school. Law enforcement charged her with possession of a pistol by a minor and carrying a weapon within a school safety zone.","WABE NPR","https://bit.ly/2Jmbp96","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"15","2013-03-06","Highland","NY","Highland High School","41.7246","-74.012","","Unintentional Discharge","No one shot","0","0","A school resource officer unintentionally discharged his service weapon inside Highland High School. No one was injured.","USA Today","https://www.usatoday.com/story/news/nation/2013/03/07/guns-school-officer-shoots/1970017/","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"14","2013-03-06","Manchester","CT","Manchester Community College","41.761625","-72.561939","","Unintentional Discharge","Injury","0","1","Police responded to the Manchester Community College after reports of a gun on campus. While searching the campus, an officer's gun unintentionally discharged, injuring his foot. No one else was injured, and police did not locate anyone with a gun on campus. ","NBC Connecticut","https://www.nbcconnecticut.com/news/local/unconfirmed-report-of-person-with-gun-at-manchester-community-college/2023824/","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"16","2013-03-18","Orlando","FL","University of Central Florida","28.602159","-81.200889","","Other","Death","1","0","A thirty-year-old threatened to shoot his roommate in the residence they shared on campus. He held his roommate at gunpoint but eventually released him before fatally shooting himself.","CNN","https://cnn.it/2GUKEdP","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"17","2013-03-21","Southgate","MI","Davidson Middle School","42.1925","-83.1943","","Self-harm - no intent to hurt others","Death","1","0","A thirteen-year-old fatally shot himself in the school bathroom with a firearm he had brought from his home.","Michigan Live","https://bit.ly/2wCggQo","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"18","2013-04-12","Dublin","VA","New River Community College","37.105239","-80.69605","","Attack on others","Injury","0","2","An eighteen-year-old shot and injured two women in a classroom that was part of a satellite campus. He was charged with two counts of attempted murder.","Roanoke Times","http://bit.ly/1pfSD0W","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"19","2013-04-13","Elizabeth City","NC","Elizabeth City State University","36.277978","-76.214041","","Attack on others","Injury","0","1","An unidentified person shot and injured someone, 23, outside of a residence hall on campus. Police believed that the shooting was in retaliation for a fight that had occurred on campus earlier in the day. Law enforcement did not apprehend the person.","WXII","http://bit.ly/1YSCwuZ","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"20","2013-04-15","Grambling","LA","Grambling State University","32.523797","-92.713245","","Attack on others","Injury","0","3","A person unidentified by the press fired a gun on campus, injuring three students. Press reports and media did not provide further information regarding the identity of the person.","NOLA.com","http://bit.ly/1N6v5ga","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"22","2013-04-16","Temple","TX","Temple High School","31.1069","-97.3536","","Self-harm - no intent to hurt others","Death","1","0","A sophomore at Temple High School shot himself in the head on the school's tennis courts. He was taken to a hospital in critical condition but died of his injuries. No other students were injured, and the school was locked down in response. ","KTEM News Radio","https://bit.ly/2TfLTai","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"21","2013-04-16","Tuscaloosa","AL","Stillman College","33.200006","-87.585278","","Attack on others","Injury","0","1","A twenty-two year-old shot and injured an unidentified student in a residence hall after an argument. He was charged with attempted murder.","AL.com","http://bit.ly/1hgxFhH","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"23","2013-04-18","Cambridge","MA","Massachusetts Institute of Technology","42.359243","-71.093226","","Attack on others","Death","1","0","Three days after the Boston Marathon bombing, an officer at MIT, 27, was shot multiple times in his car on campus by one of the brothers involved — twice in the side of the head and once between the eyes. The victim died as a result of his injuries. ","ABC News","https://abcn.ws/2JXkzvU","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"24","2013-04-29","Cincinnati","OH","La Salle High School","39.189175","-84.586693","","Self-harm - no intent to hurt others","Injury","0","1","A seventeen-year-old tried to take his own life using a handgun in a classroom. Law enforcement reported that approximately 22 students witnessed the shooting. He was transported to a medical facility and survived.","USA Today","http://usat.ly/1Rj4Y4l","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"25","2013-04-30","Tularosa","NM","Tularosa Elementary School","33.07218","-106.013187","","Legal Intervention","Death","1","0","Tularosa police engaged in a gunfight on the school campus with a man, 19, after an officer recognized the man and confronted him, believing there was a warrant out for his arrest. The man had pulled out a rifle, causing the officer and sheriff’s deputies to open fire. The shooter was hit several times and died at the scene.","Albuquerque Journal","https://bit.ly/2sYN3Mf","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"26","2013-05-03","Hattiesburg","MS","University of Southern Mississippi","31.32661","-89.331236","","Unintentional Discharge","Injury","0","1","While sitting in his car in a campus parking lot, a student, 22, unintentionally fired his handgun, hitting himself in the thigh. He was treated at a local hospital for non-life threatening injuries. Campus security announced that, as a concealed carry permit holder, he was entitled to carry a gun on campus and would not be charged. ","WLOX","http://bit.ly/1Qqj859","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"27","2013-05-13","Birmingham","AL","Ossie Ware Mitchell Middle School","33.5658","-86.7173","","Other","No one shot","0","0","During an altercation between several female students on campus, a mother to one of the girls pointed a gun at a group of people and then fired it into the ground. She was later arrested and charged with reckless endangerment and certain person forbidden to possess firearms.","WRBC","https://bit.ly/2t917lw","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"28","2013-05-24","Homestead","FL","Redland Middle School","25.5373","-80.4518","","Unintentional Discharge","Injury","0","1","A student brought a gun to school in his book bag which discharged, according to witnesses, when the bag was dropped. A student, 12, was hit in the leg. He was airlifted to Miami Children's Hospital with non-life threatening injuries, and the school was placed on temporary lockdown. ","NBC Miami","https://bit.ly/2LG25RK","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"29","2013-06-07","Santa Monica","CA","Santa Monica College","34.017022","-118.469765","","Attack on others","Death","3","0","A 23-year-old fatally shot his father, 55, and brother, 25, at their home, and set the building on fire. He then shot and injured a passing motorist, carjacked another motorist, and ordered her to drive to campus. While in the car, he shot at a bus and into a neighborhood. On campus, he shot a man, his daughter, 26, and a woman, 68, before responding police fatally shot him.","USA Today","http://usat.ly/1FLOWOT","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"30","2013-06-18","Charlotte","NC","Hidden Valley Elementary School","35.268321","-80.784439","","Other","Death","1","1","A shootout occurred at Hidden Valley Elementary School between two individuals and an undercover officer. The individuals, both 17, sold drugs to an informant and undercover police officer in the parking lot of the school. As the informant and officer walked away, the teenagers opened fire and hit the informant in the shoulder. The officer returned fire and shot one of the individuals, who later died at the hospital from a head injury.","Fox 8","https://bit.ly/2MpqwAg","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
